Author + Date,Mean ,SD,Sample Size,Gender ,"Exact Descirption (Nationality, Ethnicity)",Race,Region,Age
Farkas 2005 ,138.7,5.6,30,Male ,African American,Black ,North America,
Farkas 2005 ,130.5,4.8,30,Female,African American,Black ,North America,
Caesar,135,6,148,Female,African American,Black ,North America,
Caesar,144.11,6.87,116,Male ,African American,Black ,North America,
Nasa,138.5,5.6,"6,000",Not specified,American ,White ,North America,
Farkas 2005 ,139.8,5.1,30,Male ,Angolan,Black ,Middle Africa,
Farkas 2005 ,132.8,4.2,30,Female,Angolan,Black ,Middle Africa,
Caesar,142.38,4.91,13,Male ,Asian/Pacific Islander Asian Indian,Asian +  Pacific Islander,North America,
Caesar,139.4,6,45,Female,Asian/Pacific Islander Chinese,Asian +  Pacific Islander,North America,
Caesar,149.32,6.02,38,Male ,Asian/Pacific Islander Chinese,Asian +  Pacific Islander,North America,
Caesar,135.75,4,16,Female,Asian/Pacific Islander Filipano,Asian +  Pacific Islander,North America,
Caesar,147.62,8.06,13,Male ,Asian/Pacific Islander Filipano,Asian +  Pacific Islander,North America,
Caesar,137.71,3,7,Female,Asian/Pacific Islander Japanese,Asian +  Pacific Islander,North America,
Caesar,151.33,4.06,9,Male ,Asian/Pacific Islander Japanese,Asian +  Pacific Islander,North America,
Caesar,143.71,4.07,7,Female,Asian/Pacific Islander Korean,Asian +  Pacific Islander,North America,
Caesar,150.5,4.04,4,Male ,Asian/Pacific Islander Korean,Asian +  Pacific Islander,North America,
Caesar,138,8,3,Female,Asian/Pacific Islander Other,Asian +  Pacific Islander,North America,
Caesar,151,7.07,2,Male ,Asian/Pacific Islander Other,Asian +  Pacific Islander,North America,
Caesar,137.55,6.31,11,Female,Asian/Pacific Islander Vietnamese,Asian +  Pacific Islander,North America,
Caesar,138.25,6.24,4,Male ,Asian/Pacific Islander Vietnamese,Asian +  Pacific Islander,North America,
Nasa,139.8,5.4,"3,000",Not specified,Australian,White ,Australia + New Zealand,
Farkas 2005 ,147.5,5.4,30,Male ,Azerbaijan,White ,Western Asia,
Farkas 2005 ,138.7,5.2,30,Female,Azerbaijan,White ,Western Asia,
Nakib 2022,131,5,25,Male ,Bengali,Asian,Southern Asia,18-27
Nakib 2022,119,5,25,Female,Bengali,Asian,Southern Asia,18-27
Nasa,139.8,5.4,"2,500",Not specified,British,White ,Northern Europse,
Farkas 2005 ,139.5,5.6,30,Male ,Bulgarian,White ,Eastern Europe,
Farkas 2005 ,130.9,4.4,30,Female,Bulgarian,White ,Eastern Europe,
Caesar,132.97,6.09,964,Female,caucasian,White ,North America,
Caesar,143.35,6.55,872,Male ,caucasian,White ,North America,
Farkas 2005 ,140.7,6,30,Male ,Croatian,White ,Eastern Europe,
Farkas 2005 ,133.2,6.3,30,Female,Croatian,White ,Eastern Europe,
Farkas 2005 ,134.9,12.3,30,Male ,Czech,White ,Eastern Europe,
Farkas 2005 ,126.4,14.4,30,Female,Czech,White ,Eastern Europe,
Farkas 2005 ,135.8,6.9,30,Male ,Egyian ,MENA,Northern Africa,
Farkas 2005 ,130.3,5.2,30,Female,Egyian ,MENA,Northern Africa,
Nasa,139.5,5.3,"3,500",Not specified,French,White ,Western Europe,
Farkas 2005 ,133.2,7.5,30,Male ,German,White ,Western Europe,
Farkas 2005 ,123.4,9.2,30,Female,German,White ,Western Europe,
Nasa,140,5.5,"7,500",Not specified,German,White ,Western Europe,
Farkas 2005 ,128.6,11.4,30,Male ,Greek,White ,South Europe,
Farkas 2005 ,132.2,4.8,30,Female,Greek,White ,South Europe,
Caesar,136.25,5.9,8,Female,Hispanic,Hispanic or Latino,North America,
Caesar,136,7,3,Male ,Hispanic,Hispanic or Latino,North America,
Farkas 2005 ,142.1,5.3,30,Male ,Hungarian ,White ,Eastern Europe,
Farkas 2005 ,131.3,3.5,30,Female,Hungarian ,White ,Eastern Europe,
Farkas 2005 ,144.6,4.3,30,Male ,Indian ,Asian,Southern Asia,
Farkas 2005 ,124.9,8.5,30,Female,Indian ,Asian,Southern Asia,
Farkas 2005 ,138.4,5.7,30,Male ,Iranian,MENA,Southern Asia,
Farkas 2005 ,131.7,6.7,30,Female,Iranian,MENA,Southern Asia,
Nasa,140.5,5.7,900,Not specified,Iranian,MENA,Southern Asia,
Farkas 2005 ,143.2,5.9,30,Male ,Italian ,White ,South Europe,
Farkas 2005 ,133.3,8.2,30,Female,Italian ,White ,South Europe,
Farkas 2005 ,147.2,5.6,30,Male ,Japanese,Asian,Eastern Asia,
Farkas 2005 ,141.2,5.9,30,Female,Japanese,Asian,Eastern Asia,
Hossain ,138.49,5.06,832,Female,Japanese,Asian,Eastern Asia,
Hossain ,138.7,4.45,1491,Female,Japanese,Asian,Eastern Asia,
Nasa,136.8,5,"1,500",Not specified,Japanese ,Asian,Eastern Asia,
Nasa,137.5,5.2,900,Not specified,Korean,Asian,Eastern Asia,
Nasa,139,5.3,"2,000",Not specified,Latin American,Hispanic or Latino,North America,
Nagle 2005,133.1,10,39,Male ,Latvian,White ,Northern Europse,
Nagle 2005,122.4,8,38,Female,Latvian,White ,Northern Europse,
Caesar,141,8.68,4,Female,Native American/Alaskan,American Indian or Alaska Native,North America,
Caesar,149,5.29,3,Male ,Native American/Alaskan,American Indian or Alaska Native,North America,
Yadau 2021,136.4,4,96,Male ,Nepalese,Asian,Southern Asia,
Yadau 2021,127.5,4,44,Female,Nepalese,Asian,Southern Asia,
Caesar,129.25,5.56,4,Female,Nigerian,Black ,North America,
Gabarre-Mir 2017 ,137.1,7,56,Male ,Not specified,Not specified,South Europe,
Gabarre-Mir 2017 ,124.38,6.52,27,Male ,Not specified,Not specified,South Europe,
ANSUR 1998,140.5,5.6,1774,Male ,Not specified,Not specified,North America,
ANSUR 1998,131.30,5.6,2208,Female,Not specified,Not specified,North America,
Caesar,132.4,6,313,Female,Not specified,Not specified,North America,18-29
Caesar,133.2,6.2,338,Female,Not specified,Not specified,North America,30-40
Caesar,134.5,6.2,207,Female,Not specified,Not specified,North America,50-60
Caesar,136.6,6.1,83,Female,Not specified,Not specified,North America,60+
