Author + Date,Mean ,SD,Sample Size,Sex,"Exact Descirption (Nationality, Ethnicity)",Race,Region,Age
Alexandar 2011,60.4,2.1,5,Female,,Black ,African + Caribbean,15-29
Alexandar 2011,60.8,4.4,16,Female,,Black ,African + Caribbean,30-44
Farkas 2005 ,57,3.3,30,Female,African American,Black ,North America,
Farkas 2005 ,55.5,2.8,30,Female,Angolan,Black ,Middle Africa,
Farkas 2005 ,61.2,3.5,30,Female,Azerbaijan,White ,Western Asia,
Mostafa 2013,52.8,0.36,100,Female,Bengali,Asian,Southern Asia,25-45
Farkas 2005 ,59,3,30,Female,Bulgarian,White ,Eastern Europe,
Alexandar 2011,60.4,3.2,32,Female,caucasian,White ,Not specified,15-29
Alexandar 2011,63.5,4.6,39,Female,caucasian,White ,Not specified,30-44
Farkas 2005 ,59.1,4,30,Female,Croatian,White ,Eastern Europe,
Farkas 2005 ,61.7,3.7,30,Female,Czech,White ,Eastern Europe,
Farkas 2005 ,57.8,3.6,30,Female,Egyian ,MENA,Northern Africa,
Farkas 2005 ,58.4,4,30,Female,German,White ,Western Europe,
Farkas 2005 ,58.8,4,30,Female,Greek,White ,South Europe,
Farkas 2005 ,60.2,3.7,30,Female,Hungarian ,White ,Eastern Europe,
Sinha 2020,60.3,4.6,70,Female,Indian,Asian,Southern Asia,
Pradhuman 2017,58.55,3.32,19,Female,Indian,Asian,Southern Asia,
Pradhuman 2019,58.41,3.83,28,Female,Indian,Asian,Southern Asia,
Acharya 2025,68.9,2.2,20,Female,Indian,Asian,Southern Asia,
Kumar 2016,55.9,0.9,50,Female,Indian,Asian,Southern Asia,
Alexandar 2011,60.9,3.7,14,Female,Indian,Asian,Southern Asia,15-29
Alexandar 2011,64.7,4.3,7,Female,Indian,Asian,Southern Asia,30-44
Farkas 2005 ,57.1,5.2,30,Female,Indian ,Asian,Southern Asia,
Farkas 2005 ,59,3.5,30,Female,Iranian,MENA,Southern Asia,
Franhan 2020,52.2,5.65,154,Female,Iraqi,MENA,Southern Asia,
Farkas 2005 ,57.5,4,30,Female,Italian ,White ,South Europe,
Farkas 2005 ,61.9,3.8,30,Female,Japanese,Asian,Eastern Asia,
Kumar 2016,58.9,0.9,50,Female,Malysian ,Asian,Southeastern Asia,
Pranav 2024,57.3,3.04,50,Female,Nepal,Asian,Southern Asia,18-21
Ekanem 2010,56,5.1,77,Female,Nigerian,Black ,Western Africa,
Japatti 2018,58.55,3.93,107,Female,Indian,Asian,Southern Asia,18-30
Japatti 2018,60.19,3.26,85,Female,Indian,Asian,Southern Asia,31-40
Japatti 2018,61.01,3.9,55,Female,Indian,Asian,Southern Asia,41-50
Japatti 2018,63.06,4.29,33,Female,Indian,Asian,Southern Asia,51-64
Prasetyo 2022,57.4,3.4,428,Female,Indonesian,Asian,Southeastern Asia,17-35
Ahmad 2024,64.09,5.11,33,Female,Not specified,Asian,Southeastern Asia,
Bozkir 2006 ,59.6,,150,Female,Not specified,Not specified,Not specified,18-25
ANSUR 1998,59.80,3.8,2208,Female,Not specified,Multiracial,North America,
Fariborz et al. 2014,59.5,4,50,Female,Iraqi,MENA,Southern Asia,18-30
Farkas 2005 ,58.6,2.6,30,Female,Polish,White ,Eastern Europe,
Farkas 2005 ,55.4,3.6,30,Female,Portuguese,White ,South Europe,
Farkas 2005 ,59.2,3,30,Female,Russian,White ,Eastern Europe,
Farkas 2005 ,57.6,3.9,30,Female,Singaporean Chinese,Asian,Southern Asia + Southeastern Asia,
Farkas 2005 ,59.4,5.7,30,Female,Slovak,White ,Eastern Europe,
Farkas 2005 ,59.6,4.1,30,Female,Slovenvian ,White ,South Europe,
Boisoire 2022,60.9,4.2,53,Female,Sudanese,MENA,Northern Africa,
Farkas 2005 ,60.3,3.7,30,Female,Thai,Asian,Southeastern Asia,
Farkas 2005 ,60,3.1,30,Female,Turkish,MENA,Western Asia,
Farkas 2005 ,59.8,2.4,30,Female,Vietamese ,Asian,Southeastern Asia,
Farkas 2005 ,58.5,3.4,13,Female,White N. American,White ,North America,
Farkas 2005 ,56.2,4.4,30,Female,Zulu,Black ,Southern Africa,
Alexandar 2011,62.7,2.8,10,Male ,,Black ,African + Caribbean,15-29
Alexandar 2011,62.7,4,11,Male ,,Black ,African + Caribbean,30-44
Farkas 2005 ,59.8,4,30,Male ,African American,Black ,North America,
Farkas 2005 ,57.5,3.2,30,Male ,Angolan,Black ,Middle Africa,
Farkas 2005 ,65.6,4.1,30,Male ,Azerbaijan,White ,Western Asia,
Farkas 2005 ,64.4,4,30,Male ,Bulgarian,White ,Eastern Europe,
Alexandar 2011,65.2,4.2,36,Male ,caucasian,White ,Not specified,15-29
Alexandar 2011,68,4.5,35,Male ,caucasian,White ,Not specified,30-44
Farkas 2005 ,63.6,4.5,30,Male ,Croatian,White ,Eastern Europe,
Farkas 2005 ,64.3,3.7,30,Male ,Czech,White ,Eastern Europe,
Farkas 2005 ,61,2.9,30,Male ,Egyian ,MENA,Northern Africa,
Farkas 2005 ,63.1,4.2,30,Male ,German,White ,Western Europe,
Farkas 2005 ,63.2,3.7,30,Male ,Greek,White ,South Europe,
Farkas 2005 ,63.9,4.6,30,Male ,Hungarian ,White ,Eastern Europe,
Sinha 2020,61,6,34,Male ,Indian,Asian,Southern Asia,
Pradhuman 2016,62.51,4.65,21,Male ,Indian,Asian,Southern Asia,
Pradhuman 2018,60.78,3.82,12,Male ,Indian,Asian,Southern Asia,
Acharya 2025,56.75,6.28,20,Male ,Indian,Asian,Southern Asia,
Kumar 2016,59.8,0.8,50,Male ,Indian,Asian,Southern Asia,
Alexandar 2011,68.9,3.9,10,Male ,Indian,Asian,Southern Asia,15-29
Alexandar 2011,70.5,4,13,Male ,Indian,Asian,Southern Asia,30-44
Farkas 2005 ,61.1,3.5,30,Male ,Indian ,Asian,Southern Asia,
Farkas 2005 ,61.2,4.9,30,Male ,Iranian,MENA,Southern Asia,
Franhan 2020,53.35,6.85,157,Male ,Iraqi,MENA,Southern Asia,
Farkas 2005 ,63.2,4.4,30,Male ,Italian ,White ,South Europe,
Farkas 2005 ,65.6,3.8,30,Male ,Japanese,Asian,Eastern Asia,
Kumar 2016,60.5,1.5,50,Male ,Malysian ,Asian,Southeastern Asia,
Pranav 2024,57.71,2.96,50,Male ,Nepal,Asian,Southern Asia,18-21
Edibampde 2019,58.3,0.52,58,Male ,Nigerian,Black ,Western Africa,18-32
Edibampde 2019,58.15,0.45,53,Male ,Nigerian,Black ,Western Africa,18-32
Ekanem 2010,56.1,5.9,140,Male ,Nigerian,Black ,Western Africa,
Japatti 2018,60.59,4.62,49,Male ,Indian,Asian,Southern Asia,18-30
Japatti 2018,62.63,3.75,65,Male ,Indian,Asian,Southern Asia,31-40
Japatti 2018,64.58,3.67,56,Male ,Indian,Asian,Southern Asia,41-50
Japatti 2018,64.01,3.65,55,Male ,Indian,Asian,Southern Asia,51-64
Prasetyo 2022,60.8,3.6,96,Male ,Indonesian,Asian,Southeastern Asia,17-35
Ahmad 2024,66.83,5.95,148,Male ,Not specified,Asian,Southeastern Asia,
Purkair and Singth 2007,60.01,,415,Male ,Indian,Asian,Southern Asia,
Bozkir 2006 ,62.09,,191,Male ,Not specified,Not specified,Not specified,18-25
ANSUR 1998,64.7,4.3,1774,Male ,Not specified,Multiracial,North America,
Fariborz et al. 2014,63.3,4.8,50,Male ,Iraqi,MENA,Southern Asia,18-30
Farkas 2005 ,63.3,4.1,30,Male ,Polish,White ,Eastern Europe,
Farkas 2005 ,60.9,3.3,30,Male ,Portuguese,White ,South Europe,
Farkas 2005 ,63.1,3.5,30,Male ,Russian,White ,Eastern Europe,
Farkas 2005 ,60.7,3.8,30,Male ,Singaporean Chinese,Asian,Southern Asia + Southeastern Asia,
Farkas 2005 ,63.9,3.3,30,Male ,Slovak,White ,Eastern Europe,
Farkas 2005 ,63.3,4.1,30,Male ,Slovenvian ,White ,South Europe,
Boisoire 2022 ,62.9,4.7,47,Male ,Sudanese,MENA,Northern Africa,
Farkas 2005 ,62.4,5.4,30,Male ,Thai,Asian,Southeastern Asia,
Farkas 2005 ,55.8,3.7,30,Male ,Tonga, Pacific Islander,Polysesia,
Farkas 2005 ,64.8,3.6,30,Male ,Turkish,MENA,Western Asia,
Farkas 2005 ,59.9,2.7,30,Male ,Vietamese ,Asian,Southeastern Asia,
Farkas 2005 ,62.4,33.7,12,Male ,White N. American,White ,North America,
Farkas 2005 ,57.8,2.8,30,Male ,Zulu,Black ,Southern Africa,
Nasa,62,4.4,"6,000",Not specified,,Multiracial,North America,
Nasa,62.8,4.2,"3,000",Not specified,Australian,White ,Australia + New Zealand,
Nasa,62.8,4.2,"2,500",Not specified,British,White ,Northern Europse,
Nasa,62.5,4.1,"3,500",Not specified,French,White ,Western Europe,
Nasa,63,4.3,"7,500",Not specified,German,White ,Western Europe,
Nasa,64,4.4,900,Not specified,Iraqi,MENA,Southern Asia,
Nasa,64.5,4,"1,500",Not specified,Japanese ,Asian,Eastern Asia,
Nasa,63.5,4.1,900,Not specified,Korean,Asian,Eastern Asia,
Nasa,62.5,4.1,"2,000",Not specified,Latin American,Hispanic or Latino,South America,
Taira 2019,54.8,3.335,157,Not specified,Nigerian,Black ,Western Africa,
Ekanem 2010,54.2,4.4,27,Not specified,Nigerian,Black ,Western Africa,15-20
Ekanem 2010,55.6,5.3,93,Not specified,Nigerian,Black ,Western Africa,21-25
Ekanem 2010,56.2,5,37,Not specified,Nigerian,Black ,Western Africa,26-30
Ekanem 2010,57.3,8.3,23,Not specified,Nigerian,Black ,Western Africa,31-35
Ekanem 2010,58,4.8,27,Not specified,Nigerian,Black ,Western Africa,35-40
Ekanem 2010,56.6,5.4,10,Not specified,Nigerian,Black ,Western Africa,41-45
Ekanem 2010,58.3,6.1,4,Not specified,Nigerian,Black ,Western Africa,46-50
Ekanem 2010,58.4,7.7,4,Not specified,Nigerian,Black ,Western Africa,51-55
Ekanem 2010,58.8,4.8,2,Not specified,Nigerian,Black ,Western Africa,56-60
"NIOSH (Zhaung) 
",63,4.5,3997,Not specified,Not specified,Multiracial,North America,
Petresco 2018,60,5.32,14,Not specified,Romanian,White ,Eastern Europe,20-25
Nasa,62.7,4.1,400,Not specified,Slovak,White ,Eastern Europe,
Nasa,63,4.2,"1,400",Not specified,South African ,Black ,Southern Africa,
Nasa,61.5,4.3,"5,000",Not specified,Vietnamese,Asian,Southeastern Asia,
