Author + Date,Mean ,SD,Sample Size,Gender ,"Exact Descirption (Nationality, Ethnicity)",Race,Region,Age
Sinha 2024,56.67,1.56,34,Male ,Indian,Asian,Southern Asia,
Sinha 2024,56.05,2.17,70,Female,Indian,Asian,Southern Asia,
Sharma 2019,53.1,1.28,37,Female,Indian,Asian,Southern Asia,
Sharma 2019,55.4,1.50,40,Male ,Indian,Asian,Southern Asia,
da Costa 2022,56.2,2.48,1045,Male ,Brazillian,Hispanic or Latino,South America,
da Costa 2022,54.3,2.35,955,Female,Brazillian,Hispanic or Latino,South America,
Young 1993,57.45,1.62,110,Male ,Nigerian,Black ,Western Africa,
Young 1993,54.98,2.05,119,Female,Nigerian,Black ,Western Africa,
Jiya 2022,55.12,2.12,215,Male ,Nigerian,Black ,Western Africa,20-23
Jiya 2022,54.98,1.37,139,Male ,Nigerian,Black ,Western Africa,24-27
Jiya 2022,55.45,1.88,96,Male ,Nigerian,Black ,Western Africa,28-31
Jiya 2022,56.01,1.65,50,Male ,Nigerian,Black ,Western Africa,32-35
Jiya 2023,52.6,2.01,267,Female,Nigerian,Black ,Western Africa,20-23
Jiya 2024,52.94,1.86,162,Female,Nigerian,Black ,Western Africa,24-27
Jiya 2025,54.19,13.00,50,Female,Nigerian,Black ,Western Africa,28-31
Jiya 2026,54.06,1.81,21,Female,Nigerian,Black ,Western Africa,32-35
Oladipo 2018,56.41,1.52,189,Male ,Nigerian,Black ,Western Africa,
Oladipo 2018,57.02,2.02,193,Female,Nigerian,Black ,Western Africa,
Hshieh 2016,57.4,2.20,44,Male ,Not specified,Not specified,Not specified,
Hshieh 2016,55.4,2.00,55,Female,Not specified,Not specified,Not specified,
Prince 2017 ,55.2,2.40,14950,Not specified,Not specified,Not specified,Not specified,
Sippo and Belgarin,56.78,13.62,1957,Not specified,Not specified,Not specified,Not specified,
Reynolds 1999,58.5,2.00,292,Male ,Not specified,Not specified,Not specified,
Reynolds 1999,55.7,1.60,533,Female,Not specified,Not specified,Not specified,
Lin 2017 ,58.82,1.76,101,Male ,Not specified,Not specified,Not specified,21-30
Lin 2017 ,56.6,1.89,105,Female,Not specified,Not specified,Not specified,21-30
Kats 2004,57.2,1.62,14000,Not specified,Korean,Asian,Eastern Asia,
Du et al. 2018,56.7,1.36,2026,Male ,Chinese,Asian,Eastern Asia,
Du et al. 2018,54.62,1.72,874,Female,Chinese,Asian,Eastern Asia,
Lee 2013,56.6,1.34,278,Male ,Korean,Asian,Eastern Asia,25-43
Lee 2013,55.7,1.14,58,Female,Korean,Asian,Eastern Asia,20-28
Prince 2018,55.41,2.16,10540,Not specified,Not specified,Not specified,Not specified,
Catapan 2015,57.42,1.44,30,Male ,Not specified,Not specified,Not specified,19-34
Hossain ,55.23,1.44,832,Female,Japanese ,Asian,Eastern Asia,
Hossain ,55.12,1.31,1491,Female,Japanese ,Asian,Eastern Asia,
Yadav 2021,54.22,1.42,96,Male ,Nepalese,Asian,Southern Asia,
Yadav 2021,52.09,1.32,44,Female,Nepalese,Asian,Southern Asia,
Evereklioglu ,57.52,1.63,166,Male ,Turkish,MENA,Western Asia,
Evereklioglu ,55.15,1.56,135,Female,Turkish,MENA,Western Asia,
Prince 2018,55.9,1.80,2259,Not specified,Cuban,Hispanic or Latino,Caribbean,
Prince 2018,56.3,2.30,1410,Not specified,Dominican ,Hispanic or Latino,Caribbean,
Prince 2018,54.9,2.10,1186,Not specified,Puerto Rican,Hispanic or Latino,Caribbean,
Prince 2018,55.3,2.10,863,Not specified,Peruvians,Hispanic or Latino,South America,
Prince 2018,55.8,2.10,434,Not specified,Peruvians,Hispanic or Latino,South America,
Prince 2018,55.2,2.40,1083,Not specified,Venezuelans,Hispanic or Latino,South America,
Prince 2018,55,2.10,763,Not specified,Mexican,Hispanic or Latino,Central America,
Prince 2018,54.4,1.90,737,Not specified,Mexican,Hispanic or Latino,Central America,
Prince 2018,55.2,2.00,877,Not specified,Chinese,Asian,Eastern Asia,
Prince 2018,55,2.00,928,Not specified,Chinese,Asian,Eastern Asia,
Nasa,57.4,1.52,"4,500",Not specified,French,White ,Western Europe,
Nasa,57.7,1.57,"7,500",Not specified,German,White ,Western Europe,
Nasa,57.7,1.55,"3,000",Not specified,British,White ,Northern Europse,
Nasa,56.9,1.60,"6,000",Not specified,American ,White ,North America,
Nasa,56.1,1.47,"1,500",Not specified,Japanese ,Asian,Eastern Asia,
Nasa,56.6,1.52,900,Not specified,Korean,Asian,Eastern Asia,
Nasa,55.9,1.50,"5,000",Not specified,Vietnamese,Asian,Southeastern Asia,
Nasa,57.4,1.55,"1,400",Not specified,South African ,Black ,Southern Africa,
Nasa,57.2,1.52,"2,000",Not specified,Latin American,Hispanic or Latino,South America,
Nasa,57.9,1.63,900,Not specified,Iraqi,MENA,Southeastern Asia,
Nasa,57.7,1.57,"3,500",Not specified,Australian,White ,Australia + New Zealand,
Nasa,57.4,1.52,400,Not specified,Slovak,White ,Eastern Europe,
NIOSH,56.9,1.60,3997,Not specified,Not specified,Not specified,Not specified,
Zhaung ,56.8,1.60,2543,Male ,Not specified,Not specified,North America,
Zhaung ,56.3,1.50,1484,Female,Not specified,Not specified,North America,
Zhaung ,56.8,1.60,1886,Not specified,Caucasian,White ,North America,
Zhaung ,57.5,1.60,1223,Not specified,African American,Black ,North America,
Zhaung ,56.8,1.60,538,Not specified,Hispanic,Hispanic or Latino,North America,
Fariborz et al. 2014,57.31,1.31,50,Male ,Persain,MENA,South America,18-30
Fariborz et al. 2014,55.18,1.38,50,Female,Persain,MENA,South America,18-30
ANSUR 1998,56.77,1.54,1774,Male ,Not specified,Not specified,North America,
ANSUR 1998,54.62,1.46,2208,Female,Not specified,Not specified,North America,
Caesar,561.31,22.04,147,Female,African American,Black ,North America,
Caesar,520.50,13.77,4,Female,Asian/Pacific Islander Asian Indian,Asian +  Pacific Islander,North America,
Caesar,544.87,15.11,45,Female,Asian/Pacific Islander Chinese,Asian +  Pacific Islander,North America,
Caesar,540.56,14.82,16,Female,Asian/Pacific Islander Filipano,Asian +  Pacific Islander,North America,
Caesar,542.29,15.69,7,Female,Asian/Pacific Islander Japanese,Asian +  Pacific Islander,North America,
Caesar,556.00,8.54,7,Female,Asian/Pacific Islander Korean,Asian +  Pacific Islander,North America,
Caesar,541.67,7.51,3,Female,Asian/Pacific Islander Other,Asian +  Pacific Islander,North America,
Caesar,543.55,14.51,11,Female,Asian/Pacific Islander Vietnamese,Asian +  Pacific Islander,North America,
Caesar,575.00,22.49,4,Female,Native American/Alaskan, Pacific Islander,North America,
Caesar,550.80,23.64,5,Female,Other,Other,North America,
Caesar,556.96,24.25,25,Female,Other,Other,North America,
Caesar,555.00,19.43,7,Female,Other,Other,North America,
Caesar,554.38,21.74,8,Female,Hispanic,Hispanic or Latino,North America,
Caesar,549.50,22.79,8,Female,Spanish/Hispanic Other,Hispanic or Latino,North America,
Caesar,559.00,11.31,2,Female,Puerto Rican,Hispanic or Latino,North America,
Caesar,551.25,15.48,964,Female,Caucasian,White ,North America,
Caesar,581.83,18.55,116,Male ,African American,Black ,North America,
Caesar,567.62,14.84,13,Male ,Asian/Pacific Islander Asian Indian,Asian +  Pacific Islander,North America,
Caesar,567.89,14.22,38,Male ,Asian/Pacific Islander Chinese,Asian +  Pacific Islander,North America,
Caesar,565.92,21.75,13,Male ,Asian/Pacific Islander Filipano,Asian +  Pacific Islander,North America,
Caesar,574.67,13.47,9,Male ,Asian/Pacific Islander Japanese,Asian +  Pacific Islander,North America,
Caesar,581.00,19.41,4,Male ,Asian/Pacific Islander Korean,Asian +  Pacific Islander,North America,
Caesar,581.00,18.38,2,Male ,Asian/Pacific Islander Other,Asian +  Pacific Islander,North America,
Caesar,543.75,10.44,4,Male ,Asian/Pacific Islander Vietnamese,Asian +  Pacific Islander,North America,
Caesar,574.33,2.08,3,Male ,Native American/Alaskan, Pacific Islander,North America,
Caesar,578.25,15.84,4,Male ,Other,Other,North America,
Caesar,584.83,15.47,12,Male ,Other,Other,North America,
Caesar,568.25,11.95,4,Male ,Other,Other,North America,
Caesar,572.33,7.37,3,Male ,Hispanic,Hispanic or Latino,North America,
Caesar,574.75,15.48,16,Male ,Spanish/Hispanic Other,Hispanic or Latino,North America,
Caesar,577.18,12.94,11,Male ,Puerto Rican,Hispanic or Latino,North America,
Caesar,567.00,5.57,3,Male ,Spanish/Hispanic Other,Hispanic or Latino,North America,
Caesar,579.70,15.97,872,Male ,Caucasian,White ,North America,
